Domain,Experience_Years,Projects_Completed,Avg_Rating,Retention_Rate,Premium_Certified,Portfolio_Pieces_Count,Learning_Hours_Per_Week,Is_New,Hourly_Rate_USD
Digital Marketing,3.1,127,4.41,60.03,0,0,2,0,84.08
Graphic Design,3.15,107,3.62,57.58,0,0,0,0,70.9
Data Analysis,0.45,4,0,0,0,5,13,1,18.51
Data Analysis,9.74,94,3.82,53.71,1,0,0,0,112.19
Graphic Design,0.4,1,0,0,0,2,8,1,17.78
Data Analysis,6.69,131,3.69,61.68,1,0,5,0,116.23
Digital Marketing,2.87,194,4.23,57.79,1,0,0,0,107.62
Data Analysis,1.24,6,4.65,88.68,1,0,2,0,48.89
Graphic Design,0.42,3,0,0,0,3,16,1,22.8
Web Development,2.56,158,4.19,85.16,0,0,2,0,96.31
Graphic Design,4.84,52,4.87,57.17,1,0,0,0,70.35
Web Development,6.45,195,4.07,56.15,1,0,0,0,141.49
Web Development,4.55,143,4.69,59.26,1,0,5,0,102.3
Web Development,4.61,177,4.58,84.37,1,0,5,0,119.3
Digital Marketing,0.24,5,0,0,0,2,9,1,22.16
Data Analysis,4.42,142,4.73,65.04,1,0,0,0,106.17
Digital Marketing,0.24,0,0,0,0,1,12,1,21.79
Graphic Design,1.74,12,4.74,59.66,1,0,2,0,55.19
Content Writing,9.97,119,3.11,95.86,0,0,0,0,115.86
Graphic Design,0.13,4,0,0,0,2,12,1,13.09
Digital Marketing,2.62,95,3.29,93.2,1,0,0,0,82.93
Digital Marketing,0.83,25,3.28,81.26,0,0,5,0,50.1
Graphic Design,1.51,117,4.09,82.31,0,0,0,0,80.09
Digital Marketing,0.19,2,0,0,0,2,18,1,25.89
Data Analysis,0.39,5,0,0,0,3,4,1,20.8
Content Writing,5.11,79,3.36,99.54,1,0,2,0,89.9
Web Development,9.94,34,3.08,55.14,0,0,2,0,87.38
Content Writing,9.67,19,4.38,53.46,1,0,0,0,93.65
Web Development,8.36,168,3.7,74.16,1,0,0,0,139.69
Data Analysis,7.68,198,4.22,56.15,1,0,5,0,127.22
Digital Marketing,2.1,122,4.92,74.88,0,0,0,0,83.79
Web Development,7.97,155,3.87,82.25,1,0,5,0,129.7
Content Writing,2.58,150,3.46,60.59,1,0,5,0,92.06
Content Writing,4.08,56,4.05,92,1,0,2,0,98.67
Web Development,2.56,78,4.81,66.68,1,0,0,0,87.89
Web Development,6.68,44,4.2,92.33,0,0,0,0,74.46
Content Writing,0.12,3,0,0,0,2,6,1,19.05
Digital Marketing,5.9,26,3.74,90.71,0,0,2,0,72.08
Digital Marketing,8.76,105,4.78,58.13,1,0,0,0,118.03
Digital Marketing,0.12,5,0,0,1,2,9,1,36.07
Content Writing,4.2,26,4.54,83.65,1,0,2,0,67.14
Digital Marketing,9.22,25,3.77,88.96,0,0,5,0,96.87
Digital Marketing,7.59,128,3.75,98.61,0,0,2,0,109.77
Data Analysis,4.49,83,4.99,89.52,1,0,2,0,96.87
Web Development,0.16,0,0,0,0,1,3,1,13.37
Data Analysis,0.12,2,0,0,0,2,15,1,24.21
Web Development,2.6,117,3.38,81.83,0,0,5,0,84.85
Digital Marketing,0.12,3,0,0,0,4,17,1,28.41
Web Development,7.74,44,4.2,66.14,1,0,0,0,82.25
Web Development,5.25,142,3.7,90.5,1,0,0,0,115.71
Content Writing,7.97,136,4.37,56.77,1,0,2,0,124.61
Content Writing,9.06,172,4.81,91.28,1,0,2,0,153.65
Content Writing,5.16,177,3.66,91.6,1,0,0,0,121.35
Data Analysis,0.23,3,0,0,0,3,15,1,21.78
Content Writing,0.3,4,0,0,0,0,6,1,10.41
Content Writing,0.3,4,0,0,0,1,20,1,22.09
Data Analysis,3.85,193,4.14,52.98,1,0,0,0,112.81
Graphic Design,0.89,114,3.99,65.11,1,0,5,0,87.92
Graphic Design,0.46,1,0,0,0,4,17,1,25.04
Digital Marketing,9.35,114,3.27,88.18,0,0,2,0,114.63
Web Development,6.93,74,4.29,86.1,0,0,2,0,91.73
Content Writing,3.84,21,3.03,97.23,1,0,0,0,60.15
Data Analysis,0.21,3,0,0,0,6,9,1,24.61
Web Development,3.4,141,4.58,91.25,1,0,2,0,110.36
Data Analysis,8.11,93,4.65,99.66,1,0,5,0,121.18
Web Development,2.07,95,4.68,52.55,1,0,0,0,75.17
Content Writing,4.7,196,3.96,94.84,1,0,0,0,141.47
Digital Marketing,0.96,80,3.38,78.58,1,0,0,0,68.45
Digital Marketing,7.55,45,4.84,99.45,1,0,2,0,106.03
Data Analysis,2.14,93,3.78,67.97,1,0,0,0,84.82
Data Analysis,0.29,4,0,0,0,1,20,1,22.09
Content Writing,2.17,74,4.22,89.11,0,0,0,0,67.62
Data Analysis,4.77,133,4.05,87.62,1,0,2,0,110.95
Web Development,2.8,54,3.73,91.97,0,0,5,0,73.11
Digital Marketing,0.37,1,0,0,0,3,20,1,23
Digital Marketing,5.6,19,3.77,91.39,0,0,0,0,63.34
Digital Marketing,0.24,2,0,0,1,2,11,1,40.67
Content Writing,0.25,1,0,0,1,2,13,1,28.45
Content Writing,1.04,85,3.72,58.63,0,0,0,0,63.49
Web Development,6.29,182,3.53,68.55,1,0,2,0,130.25
Content Writing,5.37,82,3.47,90.83,0,0,2,0,87.39
Data Analysis,6.74,27,3.91,89.43,0,0,0,0,83.09
Digital Marketing,9.45,55,5,59.21,1,0,0,0,106.17
Digital Marketing,0.22,1,0,0,0,0,17,1,20.13
Digital Marketing,1.68,65,4.23,96.23,1,0,2,0,79.49
Web Development,6.39,133,3.26,50.94,0,0,0,0,101.69
Content Writing,7.99,51,3.27,59.66,0,0,2,0,81.68
Web Development,5.72,115,3.33,60.14,0,0,2,0,93.26
Graphic Design,0.16,4,0,0,1,5,15,1,40.23
Web Development,2.84,138,4.21,61.44,0,0,0,0,88.12
Digital Marketing,6.19,175,4.08,53.95,1,0,0,0,124.57
Graphic Design,5.2,165,4.63,78.17,1,0,0,0,122.11
Data Analysis,9.51,160,3.88,74.5,0,0,0,0,123.34
Web Development,3.39,28,3.51,91.82,1,0,0,0,69.05
Digital Marketing,5.41,159,4.01,92.67,1,0,0,0,118.99
Digital Marketing,8.4,146,3.23,84.56,1,0,0,0,122.9
Content Writing,9.95,14,3.6,55.72,1,0,5,0,104.63
Digital Marketing,1.39,101,3.65,60.94,1,0,5,0,73.48
Graphic Design,3.48,181,4.67,76.59,1,0,0,0,113.94
Web Development,5.59,70,4.98,96.93,1,0,0,0,93.26
Data Analysis,8.68,32,4.4,83.45,1,0,0,0,91.13
Data Analysis,4,32,4.44,82.3,0,0,2,0,64.56
Content Writing,8.41,45,3.76,60.1,0,0,0,0,87.1
Digital Marketing,1.03,42,3.21,74.59,1,0,5,0,54.17
Digital Marketing,0.43,2,0,0,0,3,10,1,16.21
Web Development,6.95,189,4.06,63.04,1,0,2,0,137.06
Graphic Design,8.92,115,3.14,77.68,0,0,5,0,112.81
Digital Marketing,0.86,42,4.17,54.87,0,0,0,0,46.67
Web Development,9.02,61,4.06,58.03,1,0,2,0,103.63
Web Development,0.28,1,0,0,0,2,10,1,21.2
Digital Marketing,9.84,160,3.01,98.72,1,0,0,0,136.68
Web Development,1.12,92,4.51,86.1,1,0,0,0,86.47
Data Analysis,9.14,53,4.19,66.26,1,0,0,0,104.22
Web Development,5.4,165,3.15,84.26,1,0,2,0,123.13
Data Analysis,0.64,83,4.96,67.59,1,0,0,0,71.09
Graphic Design,8.09,131,3.08,83.69,1,0,5,0,124.55
Data Analysis,9.07,158,3.28,86.63,1,0,0,0,136.07
Digital Marketing,0.12,4,0,0,0,2,7,1,7.01
Graphic Design,7.07,21,3.33,90.75,1,0,2,0,89.14
Digital Marketing,3.05,136,3.74,58.2,0,0,0,0,87.04
Data Analysis,0.14,5,0,0,0,5,16,1,19.16
Data Analysis,2.1,190,3.88,97.09,0,0,0,0,100.16
Web Development,5.51,52,4.97,64.67,0,0,5,0,75.47
Data Analysis,8.15,164,3.03,73.24,1,0,2,0,133.72
Graphic Design,1.3,193,4.28,84.18,1,0,5,0,112.63
Content Writing,8.16,156,4.21,61.37,1,0,0,0,130.24
Content Writing,4.16,46,4.56,50.83,1,0,0,0,58.9
Data Analysis,3.31,51,3.25,80.91,0,0,2,0,66.26
Content Writing,6.15,180,4.31,94.21,1,0,0,0,127.98
Digital Marketing,8.42,83,3.19,95.63,1,0,5,0,122.18
Digital Marketing,2.43,32,4.43,53.43,1,0,0,0,63.65
Digital Marketing,6.59,80,3.61,88.77,0,0,0,0,94.49
Content Writing,3.59,67,3.52,79.22,0,0,2,0,80.7
Web Development,6.79,133,3.4,73.69,1,0,2,0,119.98
Content Writing,0.92,71,3.63,61.46,0,0,5,0,63.72
Web Development,4.15,155,3.22,92.79,1,0,0,0,116.46
Digital Marketing,4.66,45,3.14,81.38,1,0,0,0,78.88
Data Analysis,0.28,3,0,0,0,4,10,1,14.73
Data Analysis,9.78,44,4.76,71.63,1,0,0,0,97.09
Web Development,2.47,64,3.76,94.11,1,0,5,0,78.24
Web Development,3.62,91,3.28,75.34,1,0,5,0,85.87
Data Analysis,0.37,1,0,0,0,1,9,1,15
Data Analysis,0.26,1,0,0,0,3,20,1,25.72
Data Analysis,4.04,119,4.73,75.88,0,0,0,0,96.35
Digital Marketing,0.22,2,0,0,0,4,7,1,26.25
Web Development,6.13,175,3.34,76.04,1,0,2,0,115.61
Digital Marketing,1.49,107,3.37,92.5,1,0,2,0,86.24
Digital Marketing,9.38,52,3.79,97.65,0,0,5,0,102.3
Digital Marketing,3,46,3.54,61.6,1,0,0,0,68.52
Web Development,6.05,151,3.73,60.05,0,0,0,0,107.85
Content Writing,7.72,17,3.48,68.41,1,0,0,0,88.56
Graphic Design,6.86,90,4.31,57.5,0,0,0,0,89.09
Digital Marketing,0.23,1,0,0,0,5,10,1,38.26
Digital Marketing,0.43,5,0,0,0,3,14,1,26.56
Content Writing,3.29,137,3.59,63.04,1,0,2,0,88.72
Web Development,0.27,5,0,0,0,3,18,1,24.4
Content Writing,0.37,4,0,0,0,4,11,1,20.03
Web Development,3.34,161,4.44,61.17,1,0,2,0,106.71
Digital Marketing,8.37,184,3.69,77.47,0,0,0,0,129.34
Graphic Design,6.86,75,4.53,65.99,1,0,2,0,100.57
Web Development,3.87,153,4.34,77.08,1,0,0,0,106.28
Digital Marketing,0.58,9,3.81,76.87,1,0,0,0,47.36
Web Development,6.71,82,3.4,85.05,0,0,0,0,94.28
Digital Marketing,3.18,187,4.23,57.23,0,0,0,0,91.97
Graphic Design,9.32,79,3.21,73.73,0,0,5,0,103.1
Content Writing,1.57,149,4.54,88.53,0,0,5,0,95.75
Web Development,3.11,105,3.24,95.23,1,0,5,0,92.85
Digital Marketing,0.45,4,0,0,1,4,17,1,40.23
Digital Marketing,0.55,126,3.7,82.95,0,0,5,0,76.49
Data Analysis,7.67,118,3.92,88.44,0,0,0,0,117
Digital Marketing,6.34,18,3.79,54.56,1,0,2,0,68.67
Graphic Design,1.14,115,4.8,54.64,1,0,0,0,86.19
Digital Marketing,5.7,147,4.77,85.06,1,0,0,0,115.17
Data Analysis,9.44,124,4.91,59.24,1,0,0,0,131.84
Digital Marketing,0.61,178,3.3,86.62,0,0,0,0,97.09
Graphic Design,4.85,73,4.86,50.61,1,0,0,0,93.15
Data Analysis,8.11,135,3.63,76.14,1,0,0,0,138.12
Content Writing,7.37,69,3.57,81.74,1,0,2,0,107.3
Digital Marketing,4.35,80,3.16,90.01,0,0,2,0,83.18
Content Writing,7.71,33,3.68,83.5,1,0,2,0,92.24
Graphic Design,3.56,175,4.05,71.98,1,0,0,0,122.89
Web Development,0.24,1,0,0,1,2,6,1,35.82
Graphic Design,6.43,81,3.53,78.18,1,0,2,0,101.72
Content Writing,5.29,100,3.63,67.52,1,0,0,0,86.88
Data Analysis,0.45,0,0,0,0,1,7,1,21.22
Data Analysis,9.15,200,3.29,94.04,0,0,2,0,151.39
Graphic Design,3.89,196,4.72,76.37,1,0,5,0,126.69
Graphic Design,1.08,68,4.99,64.69,1,0,0,0,75.31
Data Analysis,0.45,2,0,0,1,3,3,1,29.06
Data Analysis,7.06,35,3.88,96.75,0,0,0,0,77.52
Graphic Design,3.42,42,3.28,68.92,1,0,0,0,72.71
Content Writing,6.9,7,3.06,64.24,0,0,5,0,67.95
Web Development,0.37,0,0,0,0,3,18,1,22.03
Graphic Design,3.3,6,4.35,85.02,1,0,0,0,59.35
Graphic Design,5.5,199,4.33,78.85,1,0,0,0,138.91
Web Development,0.19,3,0,0,0,8,15,1,27.74
Digital Marketing,7.64,140,3.07,66.74,1,0,5,0,113.03
Web Development,8.38,143,3.08,97.87,1,0,0,0,127.12
Data Analysis,3.06,146,4.52,52.01,0,0,0,0,84.64
Graphic Design,6.14,97,4.34,80.55,0,0,0,0,99
Content Writing,5.41,140,4.34,75.9,1,0,0,0,118.13
Digital Marketing,3.92,143,4.47,66.01,1,0,5,0,105.62
Graphic Design,1.19,72,3.24,80.33,1,0,0,0,74.56
Digital Marketing,4.95,51,3.62,57.28,0,0,5,0,67.15
Web Development,3.44,136,4.89,61.63,0,0,0,0,90.99
